Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,0.1.1,1.1.1,2.1.1,3.1.1,4.1.1,5.1.1,6.1.1,7.1.1,8.1.1,9.1.1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,10.1,11.1,12.1,13.1,10.1.1,11.1.1,12.1.1,13.1.1,10,11,12,13,14,15,16,17
136,ibacitabine,Noun,A particular antiviral drug.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,ibafloxacin,Noun,A quinolone antibiotic drug used in veterinary medicine.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,ibandronic acid,Noun,A bisphosphonate drug used in the prevention and treatment of osteoporosis.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ibodutant,Noun,A candidate drug for irritable bowel syndrome diarrhea.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,ibogaine,Noun,"A naturally-occurring psychoactive compound found in a number of plants, principally iboga, and used for medicinal and ritual purposes in African spiritual traditions of the Bwiti.", biochemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,compound,,compound,,,,,,,,,,compound,,,,,,,,,,compound,,,,,,,,,,compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ibrotamide,Noun,A sedative and hypnotic drug.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ibudilast,Noun,An anti-inflammatory drug that acts as a phosphodiesterase inhibitor.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ibuproxam,Noun,A nonsteroidal anti-inflammatory drug.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,icatibant,Noun,A peptidomimetic drug used for the symptomatic treatment of acute attacks of hereditary angioedema.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,drug,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ice,Noun,Any substance having the appearance of ice., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False,False,False,,substance,,substance,,,,,,,,,,substance,,,,,,,,,,substance,,,,,,,,,,substance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
