Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term
51,iadromous,Adjective,Misspelling of diadromous.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,diadromous.
188,icarrin,Noun,Misspelling of icariin.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,icariin.
1170,icthyoid,Noun,Misspelling of ichthyoid.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,ichthyoid.
1172,icthyoplankton,Noun,Misspelling of ichthyoplankton.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,ichthyoplankton.
1195,icycle,Noun,Misspelling of icicle.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,icicle.
1202,idaes,Noun,Misspelling of ideas.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,ideas.
1303,idealogies,Noun,Misspelling of ideologies.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,ideologies.
1307,idealogy,Noun,Misspelling of ideology.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,ideology.
1379,identicial,Adjective,Misspelling of identical.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,identical.
1381,identicle,Adjective,Misspelling of identical.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,identical.
1471,ideoblast,Noun,Misspelling of idioblast.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,idioblast.
1711,idiosyncracity,Noun,Misspelling of idiosyncraticity.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,idiosyncraticity.
1847,idocaine,Noun,Misspelling of lidocaine,,"2015 August 14, Masahiko Sugimoto et al., Short Pulse Duration High-Power Laser Photocoagulation during Vitrectomy for Diabetic Retinopathy Reduces Postoperative Inflammation, in PLoS ONE[1], volume 10, DOI:10.1371/journal.pone.0135126:After local anesthesia by a sub-Tenon capsule injection of idocaine hydrochloride, a standard 4-port pars plana vitrectomy was performed using a 23-gauge or 25-gauge microincision procedures with chandelier illumination by a single vitrectomy system (Constellation Vision System, Alcon, Irvine, CA, USA).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,lidocaine
1864,idolatory,Noun,Misspelling of idolatry.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,idolatry.
