Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
791,ichthidin,Noun,A substance from the egg yolk of osseous fishes.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
794,ichthulin,Noun,A substance from the yolk of salmon roe., organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
5001,immunoregulator,Noun,A substance responsible for immunoregulation, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
6228,impletion,Noun,"A substance which fills, a filling.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
6994,improver,Noun,A substance added to cause improvement (especially to a foodstuff),,"2016, Wendyl Nissen, Who kneads so many ingredients? The New Zealand Herald, 6 August, 2016,[8] Soy flour is often added to bread as an improver. It helps the dough texture and can make the bread quite soft. 2017, Gardening: Get a taste of the Mediterranean, The Northern Star, 7 February, 2017,[9] When planting a new olive tree, mix organic soil improver and fertiliser into the planting hole and keep the soil moist while the olive establishes itself.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
8309,incensole,Noun,A substance obtained from the bark of Boswellia dalzielii., organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
9427,incrassative,Noun,"A substance which has the power to thicken; formerly, a medicine supposed to thicken the humours",,(Can we find and add a quotation of Harvey to this entry?),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
10744,indirubin,Noun,"A substance isomeric with, and resembling, indigo blue.", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
11020,indoin,Noun,"A substance resembling indigo blue, obtained artificially from certain isatogen compounds.", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
11725,inert,Noun,A substance that does not react chemically., chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
12508,infiltrant,Noun,"A substance that penetrates an object to give it some property, such as waterproofing.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
13776,ingo,Noun,A substance or thing that has gone in,,"1890, Annual Report of the U.S. Agricultural Experiment Station for Dakota:An accurate record was kept of all of the ingo, and all the outgo from the cows. 1912, The United States, Appellant, Vs. Forty Barrels and Twenty Kegs:It refers to the ingo and outgo and what takes place with the ingo, what becomes of it, how it is changed into the material that goes out, what is built up, what is assimilated, how the changes take place here and there. That is all metabolism. 2010, Stephen W. Reiss, Family, Farming and Freedom: Fifty-Five Years of Writings by Irv Reiss, ISBN:We have to get a better balance between our ingo and our outgo calories consumed and calories expended.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
14360,initiator,Noun,A substance that initiates a chain reaction or polymerization., chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
14382,injectant,Noun,A substance that is injected,,A variety of fatty injectants may be used to create artificial marbling in meat.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
