Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure
924,ichthyotoxin,Noun,Any chemical compound that is toxic to fish,,"2009, Craig S. Tucker John A. Hargreaves, Environmental Best Management Practices for Aquaculture, ISBN, page 277:This dinoflagellate, apparently widely distributed in temperate coastal waters, produces ichthyotoxins that have killed net-pen farmed salmonids in Norway, Scotland, and Ireland (Smayda 2006). 2012, Dean Martin, Marine Pharmacognosy: Action of Marine Biotoxins at the cellular level, ISBN:While such a pretreatment increased the sensitivity ten to forty times, the damage to the gills induced by brief exposure to ichthyotoxin was reversible. 2013, Solomon Kadis, Alex Ciegler, Samuel J. Ajl, Algal and Fungal Toxins: A Comprehensive Treatise, ISBN, page 83:The rate of the ichthyotoxic effect on immersed minnows within the temperature range of 1030C increases directly with the temperature (from 3 hours to 30 minutes), but the final titer of the ichthyotoxin is identical at both high and low temperatures.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
4062,immobilon,Noun,"A mixture of etorphine and a tranquilizer, used in veterinary medicine as a muscle relaxant",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
4418,immunocytochemical,Noun,Any chemical compound that is active in immunocytochemistry,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
8270,incendigel,Noun,"A mixture of petrol, benzene and polystyrene, used like napalm.", military,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
10510,indide,Noun,Any chemical compound of indium and a more electropositive element., chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
14247,iniparib,Noun,"The chemical compound 4-iodo-3-nitrobenzamide, once proposed as a drug for cancer treatment.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
19860,intermixture,Noun,Admixture; an additional ingredient.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
24053,investment,Noun,"A mixture of silica sand and plaster which, by surrounding a wax pattern, creates a negative mold of the form used for casting, among other metals, bronze.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
24698,iodopovidone,Noun,"A mixture of iodine and povidone which is less toxic than iodine by itself 2015 September 15, Inhaled Carbon Monoxide Protects against the Development of Shock and Mitochondrial Injury following Hemorrhage and Resuscitation, in PLOS ONE[1], DOI:10.1371/journal.pone.0135032:After cleaning the surgical areas with iodopovidone, the swine were then instrumented with a right internal jugular pulmonary artery catheter through an 8 French introducer, a right femoral vein 10 French introducer and a right femoral artery triple lumen catheter.", medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
24712,iodosilane,Noun,"A chemical compound of silicon, hydrogen, and iodine.", chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False
